removed	cause	explanation
gi|184156320|ref|NC_010611.1|:2209190-2210644	gi|184156320|ref|NC_010611.1|:c262107-260620	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c3535969-3534938	gi|184156320|ref|NC_010611.1|:1233799-1234893	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c2779344-2777848	gi|184156320|ref|NC_010611.1|:c2576628-2575060	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c2176894-2175992	gi|184156320|ref|NC_010611.1|:c1343374-1342451	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c1847702-1846716	gi|184156320|ref|NC_010611.1|:2671635-2672648	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c2913050-2911947	gi|184156320|ref|NC_010611.1|:1135924-1137030	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:998022-998636	gi|184156320|ref|NC_010611.1|:c2762611-2761997	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c1985064-1984774	gi|184156320|ref|NC_010611.1|:1126712-1127188	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c1935077-1934544	gi|184156320|ref|NC_010611.1|:c1665594-1665058	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c3540983-3539640	gi|184156320|ref|NC_010611.1|:3616502-3617929	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:1651130-1651993	gi|184156320|ref|NC_010611.1|:611102-611965	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:2067005-2067898	gi|184156320|ref|NC_010611.1|:2062645-2063688	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:3202439-3203731	gi|184156320|ref|NC_010611.1|:c1224709-1223414	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c3126887-3126636	gi|184156320|ref|NC_010611.1|:c3126649-3125711	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:1472790-1473239	gi|184156320|ref|NC_010611.1|:c3684462-3683014	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c2409889-2409335	gi|184156320|ref|NC_010611.1|:c2783723-2783169	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c2783723-2783169	gi|184156320|ref|NC_010611.1|:609418-609981	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c2753343-2752780	gi|184156320|ref|NC_010611.1|:1459392-1459994	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c3124649-3124221	gi|184156320|ref|NC_010611.1|:c3125714-3124800	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c2907014-2906646	gi|184156320|ref|NC_010611.1|:1141767-1142135	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:1912155-1914137	gi|184156320|ref|NC_010611.1|:1061852-1063930	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c3537203-3535989	gi|184156320|ref|NC_010611.1|:1232567-1233802	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:2360139-2360711	gi|184156320|ref|NC_010611.1|:c610786-610199	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:1312110-1312655	gi|184156320|ref|NC_010611.1|:c2883088-2882543	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:1137477-1137791	gi|184156320|ref|NC_010611.1|:c2911073-2910759	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:2988150-2989484	gi|184156320|ref|NC_010611.1|:2042877-2044223	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c1664195-1661658	gi|184156320|ref|NC_010611.1|:c1933663-1931105	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c2907390-2906986	gi|184156320|ref|NC_010611.1|:1141385-1141795	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c2917087-2916446	gi|184156320|ref|NC_010611.1|:1132066-1132707	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:1135924-1137030	gi|184156320|ref|NC_010611.1|:1317550-1318656	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:1140398-1140766	gi|184156320|ref|NC_010611.1|:c2907812-2907399	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:1209362-1209934	gi|184156320|ref|NC_010611.1|:751940-752599	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c2182816-2182220	gi|184156320|ref|NC_010611.1|:3447565-3448257	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:3375372-3376283	gi|184156320|ref|NC_010611.1|:c1855872-1854961	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:1311683-1312072	gi|184156320|ref|NC_010611.1|:1159858-1160247	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:1346996-1347928	gi|184156320|ref|NC_010611.1|:c490924-489989	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:121540-122766	gi|184156320|ref|NC_010611.1|:c908029-906800	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c1884371-1883199	gi|184156320|ref|NC_010611.1|:3287244-3288419	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c3038538-3037132	gi|184156320|ref|NC_010611.1|:140683-142122	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:762391-763401	gi|184156320|ref|NC_010611.1|:2213797-2214807	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:2312472-2313368	gi|184156320|ref|NC_010611.1|:c2333857-2332958	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c786872-786561	gi|184156320|ref|NC_010611.1|:c1866442-1865093	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c1283931-1282366	gi|184156320|ref|NC_010611.1|:1605788-1607353	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:142493-143923	gi|184156320|ref|NC_010611.1|:140683-142122	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:2930768-2930971	gi|184156320|ref|NC_010611.1|:2531571-2531774	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:1380492-1380821	gi|184156320|ref|NC_010611.1|:609418-609981	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c2822907-2821528	gi|184156320|ref|NC_010611.1|:c3835545-3834157	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c2906244-2906032	gi|184156320|ref|NC_010611.1|:1142537-1142755	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c1964293-1963733	gi|184156320|ref|NC_010611.1|:1459392-1459994	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c3124224-3123994	gi|184156320|ref|NC_010611.1|:c3125714-3124800	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:2114969-2116225	gi|184156320|ref|NC_010611.1|:c1292844-1291582	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c2138429-2137776	gi|184156320|ref|NC_010611.1|:1503238-1503891	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:1316358-1316816	gi|184156320|ref|NC_010611.1|:1355339-1355797	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c1931108-1930092	gi|184156320|ref|NC_010611.1|:c1661661-1660642	2 is bigger and bsr >0.6
